session_id,session_time
['PNU3DYQJ'],['2020-12-29 10:33:00.859560']
['J1NIZWP5'],['2020-12-29 10:33:01.080545']
['Q4ZTYSMG'],['2020-12-29 10:39:29.376395']
['75HL8AQX'],['2020-12-29 11:03:29.040483']
['NFRFYVYQ'],['2020-12-29 11:06:13.090192']
['J7V0OOEI'],['2020-12-29 11:06:14.876748']
['1EU6OI4A'],['2020-12-29 11:07:24.174719']
['7NSINHLV'],['2020-12-29 11:07:38.181886']
['6KG6JZFA'],['2020-12-29 11:07:44.751305']
['4LN6V7E7'],['2020-12-29 11:07:45.372601']
['MU42ZXW0'],['2020-12-29 11:08:25.567106']
['LB1O6NQO'],['2020-12-29 17:47:30.015699']
['631TOVPZ'],['2020-12-29 17:47:44.286866']
['NI0EA7HI'],['2020-12-29 17:47:44.585795']
['LJ3TRC6T'],['2020-12-29 17:48:17.165945']
['VJ4B0OOQ'],['2020-12-29 17:48:17.401371']
['U4T9RB4R'],['2020-12-29 17:50:04.469199']
['J29XCCDG'],['2020-12-29 17:50:19.579898']
['2DJ2OXJV'],['2020-12-29 17:51:00.192741']
['2RY8QG3Q'],['2020-12-31 08:26:02.971161']
['R3XO2C8J'],['2020-12-31 08:28:31.361051']
['K3LH3NAR'],['2020-12-31 08:28:31.470322']
['YWSZJUNI'],['2020-12-31 08:35:30.258562']
['XL37OLUI'],['2020-12-31 08:35:44.453881']
['5TKEHGPQ'],['2020-12-31 08:36:55.962483']
['H2RL9AIU'],['2020-12-31 08:36:59.926896']
['5Y2Q4M23'],['2020-12-31 08:39:01.063312']
['25YXB57Z'],['2020-12-31 08:39:11.590687']
['HFMLEE8G'],['2020-12-31 08:39:12.856930']
['OQ8TX7C5'],['2020-12-31 08:40:09.066818']
['CUBO82I5'],['2020-12-31 08:40:18.435104']
['G6ZBVUD5'],['2020-12-31 08:40:29.685880']
['WW9TC518'],['2020-12-31 08:42:17.262776']
['KH4IZJX1'],['2020-12-31 08:42:30.834673']
['7M69RQ2R'],['2020-12-31 08:42:31.091546']
['XVE0CIFH'],['2020-12-31 08:44:22.036592']
['H7FQZHSM'],['2020-12-31 08:44:27.126748']
['886AUS78'],['2020-12-31 08:45:19.412819']
['259GM9TU'],['2020-12-31 08:47:11.573846']
['4SHUSXA6'],['2020-12-31 08:47:13.495212']
['4QCDUYQT'],['2020-12-31 08:47:35.070602']
['L9YGDEWI'],['2020-12-31 08:47:35.241669']
['WJD7M63C'],['2020-12-31 08:48:08.437066']
['5DJZC9NS'],['2020-12-31 08:48:08.665044']
['CCL33OTC'],['2020-12-31 08:50:00.210547']
['IUB2NA38'],['2021-01-01 14:06:49.193463']
['9BL6KWPL'],['2021-01-01 14:12:07.357042']
['KTWC2E87'],['2021-01-01 14:13:11.122468']
['DN79H8FD'],['2021-01-01 14:15:06.026385']
['OMVKP6BE'],['2021-01-01 14:15:07.424362']
['3V1JG5YN'],['2021-01-01 14:16:33.284450']
['3NAFGP3V'],['2021-01-01 14:17:22.389851']
['KDR0MZYQ'],['2021-01-01 14:17:35.725488']
['0IDJGOS2'],['2021-01-01 14:17:36.257509']
['9T2C738Z'],['2021-01-01 14:18:43.729477']
['54XK124T'],['2021-01-01 19:17:40.162126']
['WABEZ5N0'],['2021-01-01 20:20:37.822052']
['FKAKNXDT'],['2021-01-01 20:23:32.265717']
['M78ZLEGB'],['2021-01-01 20:23:32.441387']
['57ION30X'],['2021-01-01 20:31:16.738754']
['HNUYLI98'],['2021-01-01 20:31:20.786922']
['974TONZW'],['2021-01-01 20:33:34.784045']
['3O3YT9DI'],['2021-01-01 20:33:40.837379']
['1XX4LF5U'],['2021-01-01 20:34:11.706993']
['3YUH6J0X'],['2021-01-01 20:34:26.857194']
['P6JG6O70'],['2021-01-01 20:34:30.318865']
['3XZKMNE4'],['2021-01-01 20:34:33.232866']
['B4H8XX14'],['2021-01-01 20:34:58.245017']
['2PHRK8R5'],['2021-01-01 20:38:49.893688']
['6WN9BYYA'],['2021-01-01 20:39:04.163213']
['PK8O6KXD'],['2021-01-01 20:39:30.412377']
['IMAZ2T83'],['2021-01-01 21:16:11.759508']
['4B7ADP8D'],['2021-01-01 21:18:54.624326']
['D0ZOFWVX'],['2021-01-01 21:19:01.486641']
['JYACUY49'],['2021-01-01 21:19:57.441037']
['QW5OWVBZ'],['2021-01-01 21:20:01.809174']
['Y8P1OG4X'],['2021-01-01 21:20:22.361523']
['KNJ4D80E'],['2021-01-01 21:27:49.451913']
['4YAGA8XU'],['2021-01-01 21:27:54.400933']
['MFSO6MXS'],['2021-01-01 21:28:46.696332']
['J4GVI5B4'],['2021-01-01 21:28:50.581755']
['TP4FHB41'],['2021-01-01 21:28:58.466627']
['XH1NH8LC'],['2021-01-01 21:29:56.909983']
['V9QQZMSB'],['2021-01-01 21:31:16.525794']
['DA0J8GK0'],['2021-01-01 21:31:16.770096']
['602AJIT1'],['2021-01-01 21:32:42.060952']
['2O93HEZB'],['2021-01-01 21:44:33.107868']
['SKSF6WP9'],['2021-01-01 21:44:35.935420']
['D0AB2HAD'],['2021-01-01 21:45:10.154519']
['V8DS19IJ'],['2021-01-01 22:18:08.398555']
['OL8PEGMS'],['2021-01-01 22:18:26.066665']
['5O0IQTR5'],['2021-01-01 22:19:01.320919']
['8AR07VJ8'],['2021-01-01 22:21:16.726279']
['D473WAMI'],['2021-01-01 22:21:47.943759']
['PD6WMXOR'],['2021-01-01 22:21:55.133017']
['UB0Q9NT9'],['2021-01-01 22:46:35.444348']
['JKQMTXZM'],['2021-01-01 22:46:43.661136']
['W44BHG4B'],['2021-01-01 22:47:07.818212']
['ZIQDKEHO'],['2021-01-01 22:48:46.201657']
['ISSPDMKT'],['2021-01-01 22:49:49.850178']
['1L60CQJ8'],['2021-01-01 22:49:54.506177']
['LNV2Q0VM'],['2021-01-01 22:50:26.009177']
['BP645Z5U'],['2021-01-01 22:57:16.709584']
['RSXDUM6X'],['2021-01-01 22:57:32.404628']
['UKUYECMP'],['2021-01-01 22:57:43.700839']
['5TJQ030T'],['2021-01-01 22:58:16.387676']
['CEZGX71A'],['2021-01-01 22:58:16.573674']
['TRG0LQ0C'],['2021-01-01 22:58:47.134531']
['76K028BJ'],['2021-01-01 22:58:52.407436']
['RUW54WMX'],['2021-01-01 22:58:58.982796']
['JM7TITPK'],['2021-01-01 22:59:03.513796']
['6OUNC26L'],['2021-01-01 22:59:14.032642']
['TFCETYCG'],['2021-01-01 23:01:21.055713']
['KLOG4J7J'],['2021-01-01 23:01:24.559720']
['6YWDZHRX'],['2021-01-01 23:01:53.936345']
['Y1PD9YKE'],['2021-01-01 23:02:09.767536']
['V3WVC4N2'],['2021-01-01 23:02:26.017835']
['JI583W3G'],['2021-01-01 23:04:50.677290']
['MIUA26WQ'],['2021-01-01 23:04:57.913858']
['LQBJ3L5B'],['2021-01-01 23:05:10.473534']
['KJU2A8PG'],['2021-01-01 23:21:09.602132']
['9ZAOK90K'],['2021-01-01 23:21:13.951132']
['LOHLYHL7'],['2021-01-01 23:21:23.221680']
['F64EQTZ0'],['2021-01-01 23:22:28.521950']
['BCXNLZ9F'],['2021-01-01 23:22:31.743952']
['VJBAOLN8'],['2021-01-01 23:22:40.534062']
['GDJYPMU5'],['2021-01-02 11:58:10.934667']
['F19GK97P'],['2021-01-02 11:58:31.400049']
['SLR9XYBQ'],['2021-01-02 11:59:05.417171']
['OBIW50YY'],['2021-01-02 12:02:37.595096']
['M5NOQN6U'],['2021-01-02 12:03:43.529221']
['IUOU6KOY'],['2021-01-02 12:05:07.395681']
['UK134F22'],['2021-01-02 12:09:37.413254']
['IOHZREW2'],['2021-01-02 12:09:43.587514']
['OYRH9NKW'],['2021-01-02 12:10:59.657460']
['2F6HJLTG'],['2021-01-02 12:11:00.334092']
['UIV75LM9'],['2021-01-02 12:20:17.371456']
['A5JG9A1P'],['2021-01-02 12:20:22.438330']
['M4MIMOQ6'],['2021-01-02 12:21:32.989281']
['X1H7899D'],['2021-01-02 12:21:42.265502']
['40OFEYT3'],['2021-01-02 12:22:04.732179']
['85Z5IG06'],['2021-01-02 12:22:04.941695']
['OK9HAGR2'],['2021-01-02 12:23:13.686161']
['SC6N0NF7'],['2021-01-02 12:23:17.297500']
['85MEDK9T'],['2021-01-02 12:23:40.361663']
['W07DDGWF'],['2021-01-02 12:28:23.778677']
['LFG61898'],['2021-01-02 12:28:34.919692']
['W1EW8NCY'],['2021-01-02 12:29:45.839201']
['XIR6B3Y0'],['2021-01-02 12:30:27.510838']
['BQV0OD82'],['2021-01-02 12:30:32.938833']
['RX33JIT9'],['2021-01-02 12:30:54.968351']
['W7ZRRH4I'],['2021-01-02 12:31:22.602453']
['O082ROWZ'],['2021-01-02 13:00:39.469984']
['HTJ0E418'],['2021-01-02 13:00:47.413700']
['G2JHOMGV'],['2021-01-02 13:01:30.557984']
['2QRSQT2P'],['2021-01-02 13:08:29.177230']
['OPWOR540'],['2021-01-02 13:09:23.862907']
['QIZH3DXF'],['2021-01-02 13:09:31.845193']
['4CNYT56K'],['2021-01-02 13:09:39.591300']
['N10MXUGE'],['2021-01-02 13:12:23.313431']
['I9HM5OLM'],['2021-01-02 13:12:38.461137']
['G8LKEXWW'],['2021-01-02 13:12:50.325720']
['LVTZFMUE'],['2021-01-02 13:13:22.333501']
['4L4N4O2G'],['2021-01-02 13:17:39.527321']
['AAVHSVJW'],['2021-01-02 13:17:53.219678']
['HA4HKC70'],['2021-01-02 13:17:56.015574']
['U5D3HJIK'],['2021-01-02 13:18:17.541345']
['RNOWVLTM'],['2021-01-02 13:18:37.338118']
['IJQ9TUN3'],['2021-01-02 13:18:46.444113']
['BBBD6WI8'],['2021-01-02 13:18:53.357090']
['FMALONE1'],['2021-01-02 13:18:57.607275']
['ZYEIDQHR'],['2021-01-02 13:24:15.602672']
['TZKNZ25T'],['2021-01-02 13:24:44.589533']
['B6Y3APBK'],['2021-01-02 13:25:31.435690']
['4AVBZ145'],['2021-01-02 13:25:37.780932']
['7H8HVOBK'],['2021-01-02 13:26:15.114503']
['ODC944UT'],['2021-01-02 13:26:46.076442']
['B8EYFTAO'],['2021-01-02 13:26:55.508432']
['178SQA6D'],['2021-01-02 13:45:32.898225']
['NI500M1B'],['2021-01-02 13:46:07.957231']
['6U48UECG'],['2021-01-02 13:47:52.965599']
['2XPM8NBP'],['2021-01-02 13:50:08.139177']
['PWU9L4DW'],['2021-01-02 13:50:36.944401']
['X7J6T9L2'],['2021-01-02 13:51:06.510366']
['SLL7GEXR'],['2021-01-02 13:52:18.506430']
['W6A4ZNDJ'],['2021-01-02 13:52:25.915705']
['IXX5TI7P'],['2021-01-02 13:52:30.045809']
['LZDQ19RI'],['2021-01-02 13:52:33.671139']
['1V02P23H'],['2021-01-02 14:16:02.626681']
['VTPKLNL9'],['2021-01-02 14:16:35.423411']
['SET9D4W1'],['2021-01-02 14:16:53.395171']
['CBWTHSC6'],['2021-01-02 14:17:31.726890']
['4ZIJF1XO'],['2021-01-02 14:22:30.629748']
['9D89ZXE6'],['2021-01-02 14:23:02.719786']
['DYIK5ORM'],['2021-01-02 14:23:42.213551']
['P8MF4IOP'],['2021-01-02 14:23:49.605701']
['O3R4CIJ0'],['2021-01-02 14:30:39.367723']
['UC7FN19E'],['2021-01-02 14:31:21.787412']
['GL5TSV8N'],['2021-01-02 14:32:02.266240']
['Z6D1R9QL'],['2021-01-02 14:32:16.369467']
['PJ7ED8OQ'],['2021-01-02 14:34:43.416913']
['99DRJY9T'],['2021-01-02 14:35:32.188384']
['BC9PU9BP'],['2021-01-02 14:35:57.245295']
['2XBS5CUV'],['2021-01-02 14:38:04.542817']
['DOSQ9TPW'],['2021-01-02 14:42:22.533564']
['7P80MPBX'],['2021-01-02 14:42:31.172493']
['ZJV0YLT1'],['2021-01-02 14:42:39.751592']
['Q4AK0OBN'],['2021-01-02 19:15:36.324081']
['EWX1P58G'],['2021-01-02 19:16:15.626318']
['RCVZFYJS'],['2021-01-02 19:17:42.060595']
['D1L955RQ'],['2021-01-02 19:17:50.974293']
['3MKBQHZL'],['2021-01-02 19:18:00.702476']
['E3BYGTSB'],['2021-01-02 19:18:06.048039']
['WX1AU230'],['2021-01-02 19:18:11.064791']
['92KM1XQM'],['2021-01-02 19:18:16.127574']
['S0GIVRIY'],['2021-01-02 19:18:21.204716']
['STVAFN0G'],['2021-01-02 19:18:41.217190']
['CCXMYDLU'],['2021-01-02 19:27:05.863765']
['T3VG932F'],['2021-01-02 19:28:21.307017']
['NJ6ECTFE'],['2021-01-02 19:28:55.679208']
['7RIR8ZBR'],['2021-01-02 19:32:38.326059']
['7KWIIUQ9'],['2021-01-02 19:32:55.396598']
